Word,POS,Tag,TagGeneral,TagPos,TagId
"['A', 'group', 'of', 'climbers', 'is', 'preparing', 'to', 'ascend', 'Mount', 'Ngauruhoe', 'next', 'week', '.']","['DT', 'NN', 'IN', 'NNS', 'VBZ', 'VBG', 'TO', 'VB', 'NNP', 'NNP', 'JJ', 'NN', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'MOUNTAIN', 'MOUNTAIN', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0]"
"['Adventurous', 'climbers', 'often', 'target', 'Mount', 'Kilimanjaro', 'for', 'its', 'breathtaking', 'views', '.']","['JJ', 'NNS', 'RB', 'VB', 'NNP', 'NNP', 'IN', 'PRP$', 'JJ', 'NNS', '.']","['O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'MOUNTAIN', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0]"
"['Ascending', 'Mount', 'Damavand', 'is', 'a', 'rewarding', 'experience', 'for', 'hikers', '.']","['VBG', 'NNP', 'NNP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'NNS', '.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'MOUNTAIN', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 2, 0, 0, 0, 0, 0, 0, 0]"
"['Ben', 'Nevis', 'is', 'the', 'highest', 'mountain', 'in', 'the', 'United', 'Kingdom', '.']","['NNP', 'NNP', 'VBZ', 'DT', 'JJS', 'NN', 'IN', 'DT', 'NNP', 'NNP', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['MOUNTAIN', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Climbers', 'are', 'preparing', 'to', 'summit', 'Mount', 'Vinson', 'in', 'Antarctica', 'next', 'winter', '.']","['NNS', 'VBP', 'VBG', 'TO', 'VB', 'NNP', 'NNP', 'IN', 'NNP', 'JJ', 'NN', '.']","['O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'MOUNTAIN', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0]"
"['Climbers', 'from', 'around', 'the', 'world', 'aspire', 'to', 'reach', 'the', 'summit', 'of', 'Mount', 'Vinson', 'in', 'Antarctica', '.']","['NNS', 'IN', 'IN', 'DT', 'NN', 'VBP', 'TO', 'VB', 'DT', 'NN', 'IN', 'NNP', 'NNP', 'IN', 'NNP', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'MOUNTAIN', 'MOUNTAIN', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0]"
"['Climbing', 'Annapurna', 'is', 'a', 'challenging', 'adventure', 'for', 'many', 'mountaineers', '.']","['VBG', 'NNP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'JJ', 'NNS', '.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Climbing', 'Annapurna', 'is', 'a', 'challenging', 'but', 'rewarding', 'experience', 'for', 'many', 'adventurers', '.']","['VBG', 'NNP', 'VBZ', 'DT', 'JJ', 'CC', 'JJ', 'NN', 'IN', 'JJ', 'NNS', '.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Climbing', 'Annapurna', 'is', 'considered', 'one', 'of', 'the', 'most', 'challenging', 'feats', 'in', 'mountaineering', '.']","['VBG', 'NNP', 'VBZ', 'VBN', 'CD', 'IN', 'DT', 'JJS', 'VBG', 'NNS', 'IN', 'NN', '.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Climbing', 'Ben', 'Nevis', 'is', 'a', 'challenge', 'even', 'for', 'experienced', 'hikers', '.']","['VBG', 'NNP', 'NNP', 'VBZ', 'DT', 'NN', 'RB', 'IN', 'JJ', 'NNS', '.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'MOUNTAIN', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Climbing', 'Ben', 'Nevis', 'is', 'a', 'challenging', 'adventure', 'for', 'many', 'hikers', '.']","['VBG', 'NNP', 'NNP', 'VBZ', 'DT', 'JJ', 'NN', 'IN', 'JJ', 'NNS', '.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'MOUNTAIN', 'MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
